Grupo_1,Grupo_2,Grupo_3,Grupo_4,Grupo_5,Grupo_8,Grupo_9,Grupo_13,Grupo_18,Grupo_19,Grupo_14,Grupo_10,Grupo_11,Grupo_12,Grupo_15,Grupo_17
3.00,4.00,2.00,2.00,3.33,1.00,2.00,4.00,5.00,3.00,4.40,1.00,3.00,3.60,4.00,3.00
4.00,4.00,3.00,4.33,2.67,1.00,3.00,4.67,5.00,3.67,2.40,1.60,4.00,4.00,1.60,3.80
4.33,5.00,4.00,3.00,3.67,2.67,3.33,5.00,4.00,4.00,2.20,2.80,3.50,3.50,3.60,2.06
2.33,4.00,4.00,4.00,3.33,2.67,2.00,3.33,2.00,4.00,2.60,2.60,2.50,1.00,3.50,4.20
1.67,3.00,4.00,2.00,4.00,1.67,1.33,3.67,2.67,3.67,2.80,2.00,4.00,1.50,4.80,2.24
3.00,3.00,3.00,2.00,3.67,1.00,3.50,4.00,1.67,1.67,2.40,2.20,3.00,3.00,4.20,4.20
3.33,3.00,2.00,3.00,2.67,1.00,3.00,4.33,3.67,3.00,4.00,1.80,3.40,1.50,3.00,4.00
3.33,3.00,3.00,3.67,2.33,1.67,4.00,4.00,2.00,2.00,2.40,1.40,5.00,1.60,2.00,3.40
2.33,2.00,2.00,2.67,3.33,1.33,3.00,4.33,2.67,4.00,2.20,2.20,2.00,1.50,2.00,4.20
3.33,2.00,3.00,3.00,2.00,2.00,4.67,3.67,4.00,3.33,2.80,1.40,3.00,4.00,2.00,2.04
3.00,4.00,2.00,2.00,3.33,1.00,2.00,3.67,5.00,3.00,4.40,1.40,3.00,3.60,4.00,2.50
2.33,5.00,2.00,2.67,2.00,1.00,1.00,5.00,5.00,4.00,2.40,3.20,4.00,2.80,1.60,4.25
4.00,4.00,1.00,2.67,4.33,1.33,1.00,1.33,3.00,3.67,2.20,3.80,2.50,2.00,3.40,4.00
3.50,2.00,2.00,2.67,3.33,2.00,3.67,4.00,4.00,1.67,2.60,2.00,5.00,3.00,3.80,4.00
3.50,5.00,3.00,2.00,2.33,4.00,3.00,5.00,3.00,3.00,2.00,3.40,4.00,4.50,4.40,3.00
3.00,3.00,4.00,2.67,2.67,1.00,3.00,4.00,3.00,3.00,3.20,2.40,3.50,3.80,3.50,3.75
2.00,5.00,1.00,4.00,4.33,2.33,5.00,3.67,3.33,4.00,2.80,1.80,3.50,4.00,2.80,4.25
3.00,2.00,4.00,3.67,2.33,2.00,1.00,4.00,1.67,3.00,2.00,2.00,2.00,2.00,2.60,4.00
2.50,4.00,3.00,4.33,3.67,2.67,3.33,5.00,1.67,2.00,2.20,1.80,3.00,1.50,2.00,3.50
2.00,2.00,3.00,3.33,4.67,4.00,4.50,3.33,4.67,4.33,3.60,3.60,3.40,4.00,3.60,2.00